wl,abs
4.0,0.28298496782029303
4.0030022516888,0.2830519322172514
4.0060090135203,0.28312231721308356
4.0090202956652,0.2831960939985404
4.012036108325,0.28327323388313663
4.0150564617315,0.28335370829789097
4.0180813661477,0.28343748879806985
4.0211108318673,0.28352454706586416
4.0241448692152995,0.2836148549130649
4.0271834885477,0.28370838428370787
4.0302267002519,0.2838051072566513
4.0332745147467,0.2839049960482025
4.0363269424823,0.2840080230146687
4.0393839939409,0.28411416065488865
4.0424456796362005,0.2842233816127779
4.0455120101138,0.28433565867982713
4.0485829959514,0.28445096479760645
4.0516586477589,0.2845692730602273
4.0547389761784,0.2846905567168404
4.0578239918844,0.2848147891740714
4.0609137055838,0.28494194399849826
4.0640081280163,0.28507199491907165
4.0671072699542,0.28520491582958685
4.070211142203,0.2853406807911094
4.0733197556008,0.2854792640344206
4.0764331210191,0.28562063996247355
4.0795512493626,0.28576478315283516
4.0826741515693,0.2859116683601298
4.0858018386108,0.28606127051853547
4.0889343214925,0.2862135647442312
4.0920716112532,0.2863685263378739
4.095213718966,0.2865261307871311
4.0983606557377,0.2866863537691761
4.1015124327096,0.2868491711532188
4.104669061057001,0.28701455900307826
4.1078305519897,0.28718249357971454
4.110996916752301,0.28735295134388733
4.1141681666238,0.28752590895871366
4.1173443129182,0.2877013432923766
4.1205253669843,0.2878792314207527
4.123711340206199,0.28805955063015487
4.126902244003101,0.2882422784200547
4.1300980898296,0.2884273925058691
4.1332988891759,0.2886148708217555
4.1365046535677,0.2888046915234703
4.1397153945666,0.2889968329912492
4.142931123770101,0.2891912738327267
4.146151852811601,0.28938799288592715
4.149377593361001,0.2895869692222284
4.1526083571243,0.28978818214944757
4.1558441558442,0.2899916112149495
4.1590850012997,0.2901972362087461
4.162330905307,0.29040503716673
4.1655818797188005,0.2906149943738937
4.1688379364251995,0.2908270883676143
4.1720990873533,0.29104129994101097
4.1753653444676,0.2912576101463059
4.1786367197702,0.2914760002982916
4.1819132253006,0.2916964519777894
4.1851948731363,0.2919189470352231
4.188481675392699,0.2921434675941871
4.1917736442232,0.2923699960550959
4.1950707918196,0.2925985150988918
4.198373130412,0.29282900769078235
4.2016806722689,0.2930614570840282
4.2049934296978,0.29329584682379417
4.2083114150447,0.2935321607510576
4.2116346406949,0.2937703830065282
4.214963119072699,0.2940104980346596
4.2182968626417,0.2942524905876534
4.221635883905,0.29449634572956757
4.2249801954053,0.29474204884039734
4.2283298097252,0.29498958562027094
4.2316847394869,0.2952389420936034
4.235044997353101,0.29549010461334574
4.238410596026499,0.29574305986523747
4.2417815482503,0.2959977948720814
4.2451578668082,0.2962542969980592
4.2485395645247,0.2965125539530401
4.2519266542652,0.29677255379695416
4.2553191489361994,0.29703428494411915
4.2587170614852,0.29729773616760613
4.262120404901401,0.2975628966035906
4.2655291922154,0.29782975575574105
4.268943436499501,0.29809830349952376
4.2723631508678,0.298368530086557
4.2757883484768,0.29864042614889813
4.2792190425247,0.29891398270333996
4.2826552462527,0.2991891911556184
4.286096972944001,0.299466043304633
4.2895442359249,0.2997445313465654
4.2929970485645,0.30002464787896316
4.296455424275,0.30030638590472214
4.2999193765117,0.3005897388360421
4.3033889187735,0.3008747004982281
4.306864064602999,0.3011612651334243
4.3103448275862,0.3014494274042432
4.3138312213535,0.3017391823972322
4.3173232595791,0.3020305256262581
4.3208209559816,0.3023234530356824
4.3243243243243,0.30261796100343386
4.3278333784149,0.3029140463438656
4.3313481321061,0.30321170631044414
4.3348685992956,0.30351093859821576
4.3383947939261995,0.3038117413460938
4.341926729986399,0.3041141131388556
4.34546442151,0.3044180530089673
4.3490078825767995,0.3047235604380433
4.352557127312299,0.30503063535813335
4.3561121698884,0.3053392781526158
4.3596730245232,0.3056494896568401
4.3632397054813,0.30596127115838756
4.3668122270742,0.306274624397004
4.3703906036602005,0.3065895515641576
4.3739748496446,0.30690605530215676
4.3775649794802005,0.30722413870292276
4.381161007667,0.30754380530626696
4.3847629487531,0.30786505909772804
4.3883708173341,0.3081879045059338
4.3919846280538,0.30851234639942426
4.3956043956044,0.30883839008299696
4.3992301347264,0.309166041293427
4.4028618602091,0.309495306194672
4.4064995868907,0.3098261913724145
4.4101433296582,0.31015870382800437
4.4137931034483,0.31049285097170914
4.4174489232468,0.3108286406152844
4.4211108040894995,0.31116608096382703
4.4247787610619,0.31150518060685267
4.4284528092997,0.31184594850859837
4.4321329639888996,0.31218839399748216
4.4358192403659995,0.31253252675474685
4.4395116537181005,0.31287835680215964
4.4432102193834995,0.313225894488818
4.4469149527515,0.313575150476961
4.4506258692628995,0.31392613572678146
4.4543429844098,0.3142788614801784
4.4580663137364,0.3146333392433952
4.4617958728388,0.31498958076854333
4.4655316773653,0.31534759803388746
4.4692737430168,0.3157074032229251
4.473022085546501,0.31606900870213017
4.4767767207611,0.3164324269973457
4.480537664519701,0.3167976707687964
4.4843049327354,0.3171647527845648
4.4880785413745,0.31753368589255354
4.491858506457,0.3179044829908498
4.4956448440573,0.3182771569963902
4.499437570303701,0.3186517208118725
4.5032367013791,0.31902818729085014
4.5070422535211,0.3194065692009023
4.510854243022299,0.3197868791848276
4.514672686230201,0.3201691297197574
4.5184975995481,0.3205533330741308
4.522328999434699,0.32093950126240417
4.5261669024045,0.3213276459974436
4.5300113250283,0.3217177786405088
4.5338622839331,0.32210991014876345
4.5377197958026,0.3225040510201741
4.5415838773772,0.3229002112358172
4.5454545454545,0.32329840019945827
4.5493318168894,0.32369862667441013
4.5532157085942,0.32410089871758196
4.5571062375392,0.324505223610783
4.561003420752599,0.32491160778922246
4.5649072753210005,0.32532005676733433
4.568817818389499,0.3257305750619587
4.572735067161999,0.32614316611307
4.5766590389016,0.3265578322022653
4.5805897509304,0.32697457436927413
4.5845272206304,0.3273933923269051
4.5884714654431,0.32781428437495597
4.5924225028703,0.3282372473136113
4.596380350474,0.32866227635728584
4.6003450258769,0.3290893650497374
4.6043165467626,0.3295185051817155
4.6082949308756,0.3299496867126298
4.6122801960219,0.3303828976978491
